county,state,fips,code,flag,population
Belmont,Ohio,39013,OH, ,67006
Rice,Minnesota,27131,MN, ,66972
Butler,Kansas,20015,KS, ,66911
Jefferson,Arkansas,5069,AR, ,66824
Oldham,Kentucky,21185,KY, ,66799
Mason,Washington,53045,WA, ,66768
San Patricio,Texas,48409,TX, ,66730
Spalding,Georgia,13255,GA, ,66703
Marquette,Michigan,26103,MI, ,66699
Darlington,South Carolina,45031,SC, ,66618
Williamson,Illinois,17199,IL, ,66597
Harrison,Texas,48203,TX, ,66553
Kershaw,South Carolina,45055,SC, ,66551
Wayne,Indiana,18177,IN, ,65884
Grant,Indiana,18053,IN, ,65769
Adams,Illinois,17001,IL, ,65435
McCracken,Kentucky,21145,KY, ,65418
Athens,Ohio,39009,OH, ,65327
Jefferson,Ohio,39081,OH, ,65325
Nacogdoches,Texas,48347,TX, ,65204
Marion,Ohio,39101,OH, ,65093
Tehama,California,6103,CA, ,65084
Crow Wing,Minnesota,27035,MN, ,65055
Pulaski,Kentucky,21199,KY, ,64979
Columbia,Pennsylvania,42037,PA, ,64964
Hamblen,Tennessee,47063,TN, ,64934
Armstrong,Pennsylvania,42005,PA, ,64735
Ionia,Michigan,26067,MI, ,64697
Chippewa,Wisconsin,55017,WI, ,64658
Starr,Texas,48427,TX, ,64633
Chaves,New Mexico,35005,NM, ,64615
Coos,Oregon,41011,OR, ,64487
Sauk,Wisconsin,55111,WI, ,64442
Lake,California,6033,CA, ,64386
Effingham,Georgia,13103,GA, ,64296
Clay,Minnesota,27027,MN, ,64222
Carbon,Pennsylvania,42025,PA, ,64182
Pope,Arkansas,5115,AR, ,64072
Warren,New York,36113,NY, ,63944
Montcalm,Michigan,26117,MI, ,63888
Sampson,North Carolina,37163,NC, ,63531
Walker,Alabama,1127,AL, ,63521
Lamar,Mississippi,28073,MS, ,63343
Crawford,Arkansas,5033,AR, ,63257
Pender,North Carolina,37141,NC, ,63060
Warrick,Indiana,18173,IN, ,62998
Livingston,New York,36051,NY, ,62914
San Benito,California,6069,CA, ,62808
Stanly,North Carolina,37167,NC, ,62806
Georgetown,South Carolina,45043,SC, ,62680
Salem,New Jersey,34033,NJ, ,62385
Knox,Ohio,39083,OH, ,62322
Haywood,North Carolina,37087,NC, ,62317
Acadia,Louisiana,22001,LA, ,62045
Reno,Kansas,20155,KS, ,61998
Lee,North Carolina,37105,NC, ,61779
Hood,Texas,48221,TX, ,61643
Tipton,Tennessee,47167,TN, ,61599
Barry,Michigan,26015,MI, ,61550
Liberty,Georgia,13179,GA, ,61435
Hall,Nebraska,31079,NE, ,61353
Herkimer,New York,36043,NY, ,61319
Belknap,New Hampshire,33001,NH, ,61303
Washington,New York,36115,NY, ,61204
Lincoln,South Dakota,46083,SD, ,61128
Garfield,Oklahoma,40047,OK, ,61056
St. Joseph,Michigan,26149,MI, ,60964
Laurel,Kentucky,21125,KY, ,60813
Walla Walla,Washington,53071,WA, ,60760
Cumberland,Tennessee,47035,TN, ,60520
Granville,North Carolina,37077,NC, ,60443
Pittsylvania,Virginia,51143,VA, ,60354
Bradford,Pennsylvania,42015,PA, ,60323
Garfield,Colorado,8045,CO, ,60061
Washington,Ohio,39167,OH, ,59911
Vermilion,Louisiana,22113,LA, ,59511
Otsego,New York,36077,NY,s,59493
Lawrence,Ohio,39087,OH, ,59463
Columbia,New York,36021,NY, ,59461
Lincoln,Missouri,29113,MO, ,59013
Union,Ohio,39159,OH, ,58988
Mercer,West Virginia,54055,WV, ,58758
Otter Tail,Minnesota,27111,MN, ,58746
Duplin,North Carolina,37061,NC, ,58741
Maverick,Texas,48323,TX, ,58722
Kenai Peninsula Borough,Alaska,2122,AK, ,58708
Lowndes,Mississippi,28087,MS, ,58595
Sandusky,Ohio,39143,OH, ,58518
Eddy,New Mexico,35015,NM, ,58460
Pickaway,Ohio,39129,OH, ,58457
Washington,Vermont,50023,VT, ,58409
Huron,Ohio,39077,OH, ,58266
Newton,Missouri,29145,MO, ,58236
Rutland,Vermont,50021,VT, ,58191
Oxford,Maine,23017,ME, ,57975
Gordon,Georgia,13129,GA, ,57963
Russell,Alabama,1113,AL, ,57961
Pike,Kentucky,21195,KY, ,57876
Blount,Alabama,1009,AL, ,57826
Anderson,Texas,48001,TX, ,57735
Hardin,Texas,48199,TX, ,57602
Columbia,Wisconsin,55021,WI, ,57532
Lyon,Nevada,32019,NV, ,57510
Cherokee,South Carolina,45021,SC, ,57300
Genesee,New York,36037,NY, ,57280
Jefferson,West Virginia,54037,WV, ,57146
Scott,Kentucky,21209,KY, ,57004
Hawkins,Tennessee,47073,TN, ,56786
Jackson,Illinois,17077,IL, ,56750
Van Zandt,Texas,48467,TX, ,56590
Chisago,Minnesota,27025,MN, ,56579
Coffee,Tennessee,47031,TN, ,56520
Putnam,West Virginia,54079,WV, ,56450
Carter,Tennessee,47019,TN, ,56391
La Plata,Colorado,8067,CO, ,56221
Watauga,North Carolina,37189,NC, ,56177
Marion,West Virginia,54049,WV, ,56072
Box Elder,Utah,49003,UT, ,56046
Franklin,Virginia,51067,VA, ,56042
Lenoir,North Carolina,37107,NC, ,55949
Taney,Missouri,29213,MO, ,55928
Carson City,Nevada,32510,NV, ,55916
Autauga,Alabama,1001,AL, ,55869
Grady,Oklahoma,40051,OK, ,55834
Pike,Pennsylvania,42103,PA, ,55809
Pearl River,Mississippi,28109,MS, ,55535
Columbus,North Carolina,37047,NC, ,55508
Waller,Texas,48473,TX, ,55246
Colbert,Alabama,1033,AL, ,55241
Hoke,North Carolina,37093,NC, ,55234
Seneca,Ohio,39147,OH, ,55178
Whiteside,Illinois,17195,IL, ,55175
Eagle,Colorado,8037,CO, ,55127
Windsor,Vermont,50027,VT, ,55062
Hancock,Maine,23009,ME, ,54987
Campbell,Virginia,51031,VA, ,54885
Iron,Utah,49021,UT, ,54839
Camden,Georgia,13039,GA, ,54666
Jefferson,Tennessee,47089,TN, ,54495
Tuolumne,California,6109,CA, ,54478
Rusk,Texas,48401,TX, ,54406
Saline,Kansas,20169,KS, ,54224
Jessamine,Kentucky,21113,KY, ,54115
Loudon,Tennessee,47105,TN, ,54068
Johnson,Missouri,29101,MO, ,54062
Lafayette,Mississippi,28071,MS, ,54019
Gila,Arizona,4007,AZ, ,54018
Dickson,Tennessee,47043,TN, ,53948
McMinn,Tennessee,47107,TN, ,53794
Washington,Virginia,51191,VA, ,53740
Boone,Illinois,17007,IL, ,53544
Ashland,Ohio,39005,OH, ,53484
St. Martin,Louisiana,22099,LA, ,53431
Fulton,New York,36035,NY, ,53383
Roane,Tennessee,47145,TN, ,53382
St. Charles,Louisiana,22089,LA, ,53100
Harrisonburg city,Virginia,51660,VA, ,53016
Elko,Nevada,32007,NV, ,52778
Cherokee,Texas,48073,TX, ,52646
Pulaski,Missouri,29169,MO, ,52607
Culpeper,Virginia,51047,VA, ,52605
Kerr,Texas,48265,TX, ,52600
Columbia,Oregon,41009,OR, ,52354
Coffee,Alabama,1031,AL, ,52342
Worcester,Maryland,24047,MD, ,52276
Tuscola,Michigan,26157,MI, ,52245
Cass,Michigan,26027,MI, ,51787
Jackson,Alabama,1071,AL, ,51626
Medina,Texas,48325,TX, ,51584
Washington,Oklahoma,40147,OK, ,51527
Edgecombe,North Carolina,37065,NC, ,51472
Warren,Iowa,19181,IA, ,51466
Grant,Wisconsin,55043,WI, ,51439
Wayne,Pennsylvania,42127,PA, ,51361
Polk,Texas,48373,TX, ,51353
Atascosa,Texas,48013,TX, ,51153
Darke,Ohio,39037,OH, ,51113
Wilson,Texas,48493,TX, ,51070
Grundy,Illinois,17063,IL, ,51054
Franklin,Kentucky,21073,KY, ,50991
Waupaca,Wisconsin,55135,WI, ,50990
Venango,Pennsylvania,42121,PA, ,50668
Ogle,Illinois,17141,IL, ,50643
Coles,Illinois,17029,IL, ,50621
Henry,Virginia,51089,VA, ,50557
Winona,Minnesota,27169,MN, ,50484
Somerset,Maine,23025,ME, ,50484
Queen Anne's,Maryland,24035,MD, ,50381
Navarro,Texas,48349,TX, ,50113
Whitman,Washington,53075,WA, ,50104
Calumet,Wisconsin,55015,WI, ,50089
Franklin,New York,36033,NY, ,50022
Halifax,North Carolina,37083,NC, ,50010
Lincoln,Oregon,41041,OR, ,49962
Lamar,Texas,48277,TX, ,49859
Le Flore,Oklahoma,40079,OK, ,49853
Bedford,Tennessee,47003,TN, ,49713
Knox,Illinois,17095,IL, ,49699
Buffalo,Nebraska,31019,NE, ,49659
Oktibbeha,Mississippi,28105,MS, ,49587
Dearborn,Indiana,18029,IN, ,49458
Franklin,Vermont,50011,VT, ,49402
St. Mary,Louisiana,22101,LA, ,49348
Montgomery,New York,36057,NY, ,49221
Dale,Alabama,1045,AL, ,49172
Gibson,Tennessee,47053,TN, ,49133
Val Verde,Texas,48465,TX, ,49025
Shelby,Kentucky,21211,KY, ,49024
Newaygo,Michigan,26123,MI, ,48980
Curry,New Mexico,35009,NM, ,48954
Henry,Illinois,17073,IL, ,48913
Carroll,New Hampshire,33003,NH, ,48910
Douglas,Nevada,32005,NV, ,48905
Cherokee,Oklahoma,40021,OK, ,48657
Shelby,Ohio,39149,OH, ,48590
Bristol,Rhode Island,44001,RI, ,48479
Tioga,New York,36107,NY, ,48203
Burnet,Texas,48053,TX, ,48155
Carter,Oklahoma,40019,OK, ,48111
Logan,Oklahoma,40083,OK, ,48011
Bryan,Oklahoma,40013,OK, ,47995
Henry,Indiana,18065,IN, ,47972
Crittenden,Arkansas,5035,AR, ,47955
Kittitas,Washington,53037,WA, ,47935
Bedford,Pennsylvania,42009,PA, ,47888
Fremont,Colorado,8043,CO, ,47839
Noble,Indiana,18113,IN, ,47744
Hancock,Mississippi,28045,MS, ,47632
Cortland,New York,36023,NY, ,47581
Laurens,Georgia,13175,GA, ,47546
Kendall,Texas,48259,TX, ,47431
Vernon,Louisiana,22115,LA, ,47429
Charlottesville city,Virginia,51540,VA, ,47266
St. Bernard,Louisiana,22087,LA, ,47244
Chenango,New York,36017,NY, ,47207
Greene,New York,36039,NY, ,47188
Beltrami,Minnesota,27007,MN, ,47188
Beaufort,North Carolina,37013,NC, ,46994
Osage,Oklahoma,40113,OK, ,46963
Bingham,Idaho,16011,ID, ,46811
Lincoln,Louisiana,22061,LA, ,46742
Boyd,Kentucky,21019,KY, ,46718
Monroe,Tennessee,47123,TN, ,46545
Nye,Nevada,32023,NV, ,46523
Santa Cruz,Arizona,4023,AZ, ,46498
Clinton,Iowa,19045,IA, ,46429
Jackson,Florida,12063,FL, ,46414
Campbell,Wyoming,56005,WY, ,46341
Goodhue,Minnesota,27049,MN, ,46340
Camden,Missouri,29029,MO, ,46305
Perry,Pennsylvania,42099,PA, ,46272
Marshall,Indiana,18099,IN, ,46258
Monroe,Wisconsin,55081,WI, ,46253
Nelson,Kentucky,21179,KY, ,46233
Washington,Louisiana,22117,LA, ,46194
Mifflin,Pennsylvania,42087,PA, ,46138
Allegany,New York,36003,NY, ,46091
Calaveras,California,6009,CA, ,45905
McDowell,North Carolina,37111,NC, ,45756
Bonner,Idaho,16017,ID, ,45739
Stevens,Washington,53065,WA, ,45723
Logan,Ohio,39091,OH, ,45672
Gadsden,Florida,12039,FL, ,45660
Auglaize,Ohio,39011,OH, ,45656
Chesterfield,South Carolina,45025,SC, ,45650
Hillsdale,Michigan,26059,MI, ,45605
Colquitt,Georgia,13071,GA, ,45600
Stokes,North Carolina,37169,NC, ,45591
Wood,Texas,48499,TX, ,45539
Warren,Mississippi,28149,MS, ,45381
Lawrence,Indiana,18093,IN, ,45370
Dunn,Wisconsin,55033,WI, ,45368
Habersham,Georgia,13137,GA, ,45328
Greene,Arkansas,5055,AR, ,45325
Barron,Wisconsin,55005,WI, ,45244
Henderson,Kentucky,21101,KY, ,45210
Huntingdon,Pennsylvania,42061,PA, ,45144
Itasca,Minnesota,27061,MN, ,45130
Macoupin,Illinois,17117,IL, ,44926
Union,Pennsylvania,42119,PA, ,44923
Baldwin,Georgia,13009,GA, ,44890
Richmond,North Carolina,37153,NC, ,44829
Callaway,Missouri,29027,MO, ,44743
Madison,Ohio,39097,OH, ,44731
Shelby,Indiana,18145,IN, ,44729
Hopkins,Kentucky,21107,KY, ,44686
Phelps,Missouri,29161,MO, ,44573
Vance,North Carolina,37181,NC, ,44535
Stephenson,Illinois,17177,IL, ,44498
Thomas,Georgia,13275,GA, ,44451
Chilton,Alabama,1021,AL, ,44428
Suwannee,Florida,12121,FL, ,44417
Barren,Kentucky,21009,KY, ,44249
Jackson,Indiana,18071,IN, ,44231
Lawrence,Tennessee,47099,TN, ,44142
Delaware,New York,36025,NY, ,44135
Holmes,Ohio,39075,OH, ,43960
Jackson,North Carolina,37099,NC, ,43938
Washington,Mississippi,28151,MS, ,43909
Chambers,Texas,48071,TX, ,43837
Ravalli,Montana,30081,MT, ,43806
Polk,Wisconsin,55095,WI, ,43783
Caldwell,Texas,48055,TX, ,43664
Pittsburg,Oklahoma,40121,OK, ,43654
Shenandoah,Virginia,51171,VA, ,43616
Siskiyou,California,6093,CA, ,43539
Kay,Oklahoma,40071,OK, ,43538
Branch,Michigan,26023,MI, ,43517
DeKalb,Indiana,18033,IN, ,43475
Mecosta,Michigan,26107,MI, ,43453
Brown,Ohio,39015,OH, ,43432
Douglas,Washington,53017,WA, ,43429
Jefferson,Pennsylvania,42065,PA, ,43425
Coffee,Georgia,13069,GA, ,43273
Miller,Arkansas,5091,AR, ,43257
Kandiyohi,Minnesota,27067,MN, ,43199
Highland,Ohio,39071,OH, ,43161
Douglas,Wisconsin,55031,WI, ,43150
Sullivan,New Hampshire,33019,NH, ,43146
Stephens,Oklahoma,40137,OK, ,43143
Delaware,Oklahoma,40041,OK, ,43009
Davie,North Carolina,37059,NC, ,42846
St. John the Baptist,Louisiana,22095,LA, ,42837
Montrose,Colorado,8085,CO, ,42758
Pierce,Wisconsin,55093,WI, ,42754
Dubois,Indiana,18037,IN, ,42736
Erath,Texas,48143,TX, ,42698
Muscatine,Iowa,19139,IA, ,42664
Polk,Georgia,13233,GA, ,42613
Butler,Missouri,29023,MO, ,42478
Cerro Gordo,Iowa,19033,IA, ,42450
Fayette,West Virginia,54019,WV, ,42406
Sweetwater,Wyoming,56037,WY, ,42343
Pettis,Missouri,29159,MO, ,42339
Okanogan,Washington,53047,WA, ,42243
Windham,Vermont,50025,VT, ,42222
Franklin,Tennessee,47051,TN, ,42208
Okeechobee,Florida,12093,FL, ,42168
Summit,Utah,49043,UT, ,42145
Fulton,Ohio,39051,OH, ,42126
Hendry,Florida,12051,FL, ,42022
Clinton,Ohio,39027,OH, ,41968
Baxter,Arkansas,5005,AR, ,41932
Upshur,Texas,48459,TX, ,41753
Sequoyah,Oklahoma,40135,OK, ,41569
Wharton,Texas,48481,TX, ,41556
Levy,Florida,12075,FL, ,41503
Crawford,Ohio,39033,OH, ,41494
Ohio,West Virginia,54069,WV, ,41411
Warren,Tennessee,47177,TN, ,41277
Cooke,Texas,48097,TX, ,41257
Mercer,Ohio,39107,OH, ,41172
Sanilac,Michigan,26151,MI, ,41170
Fayette,Tennessee,47047,TN, ,41133
Mayes,Oklahoma,40097,OK, ,41100
Manassas city,Virginia,51683,VA, ,41085
Shawano,Wisconsin,55115,WI, ,40899
Benton,Minnesota,27009,MN, ,40889
Preble,Ohio,39135,OH, ,40882
Gratiot,Michigan,26057,MI, ,40711
Cheatham,Tennessee,47021,TN, ,40667
Mississippi,Arkansas,5093,AR, ,40651
Tift,Georgia,13277,GA, ,40644
McKean,Pennsylvania,42083,PA, ,40625
Isanti,Minnesota,27059,MN, ,40596
Tazewell,Virginia,51185,VA, ,40595
Tioga,Pennsylvania,42117,PA, ,40591
Ottawa,Ohio,39123,OH, ,40525
Harrison,Indiana,18061,IN, ,40515
Jim Wells,Texas,48249,TX, ,40482
McClain,Oklahoma,40087,OK, ,40474
Nez Perce,Idaho,16069,ID, ,40408
Snyder,Pennsylvania,42109,PA, ,40372
Tallapoosa,Alabama,1123,AL, ,40367
Orleans,New York,36073,NY, ,40352
Marinette,Wisconsin,55075,WI, ,40350
Susquehanna,Pennsylvania,42115,PA, ,40328
Oconee,Georgia,13219,GA, ,40280
Clatsop,Oregon,41007,OR, ,40224
Warren,Virginia,51187,VA, ,40164
Avoyelles,Louisiana,22009,LA, ,40144
Howell,Missouri,29091,MO, ,40117
Latah,Idaho,16057,ID, ,40108
Murray,Georgia,13213,GA, ,40096
Mower,Minnesota,27099,MN, ,40062
Danville city,Virginia,51590,VA, ,40044
Madison,Idaho,16065,ID, ,39907
Wyoming,New York,36121,NY, ,39859
Campbell,Tennessee,47013,TN, ,39842
Pasquotank,North Carolina,37139,NC, ,39824
Knox,Maine,23013,ME, ,39772
Amador,California,6005,CA, ,39752
Waldo,Maine,23027,ME, ,39715
Bryan,Georgia,13029,GA, ,39627
LaGrange,Indiana,18087,IN, ,39614
Webster,Missouri,29225,MO, ,39592
Person,North Carolina,37145,NC, ,39490
Wayne,West Virginia,54099,WV, ,39402
Marshall,Iowa,19127,IA, ,39369
Pike,Mississippi,28113,MS, ,39288
Fremont,Wyoming,56013,WY, ,39261
Warren,Pennsylvania,42123,PA, ,39191
Calloway,Kentucky,21035,KY, ,39001
Des Moines,Iowa,19057,IA, ,38967
Rio Arriba,New Mexico,35039,NM, ,38921
Champaign,Ohio,39021,OH, ,38885
Albany,Wyoming,56001,WY, ,38880
Guernsey,Ohio,39059,OH, ,38875
Brown,South Dakota,46013,SD, ,38839
Graham,Arizona,4009,AZ, ,38837
Crawford,Kansas,20037,KS, ,38818
Union,Arkansas,5139,AR, ,38682
Clinton,Pennsylvania,42035,PA, ,38632
Franklin,Illinois,17055,IL, ,38469
Okmulgee,Oklahoma,40111,OK, ,38465
Woodford,Illinois,17203,IL, ,38459
Newberry,South Carolina,45071,SC, ,38440
Clarion,Pennsylvania,42031,PA, ,38438
Lawrence,Missouri,29109,MO, ,38355
Prince George,Virginia,51149,VA, ,38353
Webster,Louisiana,22119,LA, ,38340
Montgomery,Indiana,18107,IN, ,38338
Pontotoc,Oklahoma,40123,OK, ,38284
Scott,Missouri,29201,MO, ,38280
Natchitoches,Louisiana,22069,LA, ,38158
Douglas,Minnesota,27041,MN, ,38141
Defiance,Ohio,39039,OH, ,38087
DeSoto,Florida,12027,FL, ,38001
Oconto,Wisconsin,55083,WI, ,37930
Brown,Texas,48049,TX, ,37864
Independence,Arkansas,5063,AR, ,37825
Cass,Indiana,18017,IN, ,37689
Jefferson,Illinois,17081,IL, ,37684
Colleton,South Carolina,45029,SC, ,37677
Yadkin,North Carolina,37197,NC, ,37667
Louisa,Virginia,51109,VA, ,37591
Williams,North Dakota,38105,ND, ,37589
Putnam,Indiana,18133,IN, ,37576
Clinton,Illinois,17027,IL, ,37562
Alexander,North Carolina,37003,NC, ,37497
Beauregard,Louisiana,22011,LA, ,37497
Boone,Arkansas,5009,AR, ,37432
Wise,Virginia,51195,VA, ,37383
Chippewa,Michigan,26033,MI, ,37349
Gloucester,Virginia,51073,VA, ,37348
Graves,Kentucky,21083,KY, ,37266
Marion,Illinois,17121,IL, ,37205
Dallas,Alabama,1047,AL, ,37196
Jasper,Iowa,19099,IA, ,37185
Talbot,Maryland,24041,MD, ,37181
Dyer,Tennessee,47045,TN, ,37159
Isle of Wight,Virginia,51093,VA, ,37109
Hopkins,Texas,48223,TX, ,37084
Orange,Virginia,51137,VA, ,37051
Covington,Alabama,1039,AL, ,37049
Dare,North Carolina,37055,NC, ,37009
Green,Wisconsin,55045,WI, ,36960
Alcorn,Mississippi,28003,MS, ,36953
Essex,New York,36031,NY, ,36885
Addison,Vermont,50001,VT, ,36777
Williams,Ohio,39171,OH, ,36692
Howard,Texas,48227,TX, ,36664
Hill,Texas,48217,TX, ,36649
Steele,Minnesota,27147,MN, ,36649
Matagorda,Texas,48321,TX, ,36643
Escambia,Alabama,1053,AL, ,36633
Coshocton,Ohio,39031,OH, ,36600
Knox,Indiana,18083,IN, ,36594
Dodge,Nebraska,31053,NE, ,36565
Huntington,Indiana,18069,IN, ,36520
Finney,Kansas,20055,KS, ,36467
Whitley,Kentucky,21235,KY, ,36264
Clark,Kentucky,21049,KY, ,36263
Greene,Pennsylvania,42059,PA, ,36233
Perry,Ohio,39127,OH, ,36134
Cocke,Tennessee,47029,TN, ,36004
Webster,Iowa,19187,IA, ,35904
McLeod,Minnesota,27085,MN, ,35893
Washington,Texas,48477,TX, ,35882
Carlton,Minnesota,27017,MN, ,35871
Macon,North Carolina,37113,NC, ,35858
Sagadahoc,Maine,23023,ME, ,35856
Barry,Missouri,29009,MO, ,35789
Delta,Michigan,26041,MI, ,35784
Adams,Indiana,18001,IN, ,35777
Uintah,Utah,49047,UT, ,35734
Ware,Georgia,13299,GA, ,35734
Laclede,Missouri,29105,MO, ,35723
Houghton,Michigan,26061,MI, ,35684
Warren,Missouri,29219,MO, ,35649
Livingston,Illinois,17105,IL, ,35648
Scotts Bluff,Nebraska,31157,NE, ,35618
Oneida,Wisconsin,55085,WI, ,35595
Floyd,Kentucky,21071,KY, ,35589
Jasper,Texas,48241,TX, ,35529
Miami,Indiana,18103,IN, ,35516
Fannin,Texas,48147,TX, ,35514
Bennington,Vermont,50003,VT, ,35470
Morrow,Ohio,39117,OH, ,35328
Marshall,Mississippi,28093,MS, ,35294
Monroe,Mississippi,28095,MS, ,35252
Harris,Georgia,13145,GA, ,35236
Madison,Nebraska,31119,NE, ,35099
Greenup,Kentucky,21089,KY, ,35098
Brookings,South Dakota,46011,SD, ,35077
Wapello,Iowa,19179,IA, ,34969
Silver Bow,Montana,30093,MT, ,34915
Lincoln,Nebraska,31111,NE, ,34914
Cowley,Kansas,20035,KS, ,34908
Lincoln,Oklahoma,40081,OK, ,34877
Sioux,Iowa,19167,IA, ,34855
Scotland,North Carolina,37165,NC, ,34823
Clark,Wisconsin,55019,WI, ,34774
Greenbrier,West Virginia,54025,WV, ,34662
Monroe,Illinois,17133,IL, ,34637
Lincoln,Maine,23015,ME, ,34634
Steuben,Indiana,18151,IN, ,34594
Harvey,Kansas,20079,KS, ,34429
Becker,Minnesota,27005,MN, ,34423
Transylvania,North Carolina,37175,NC, ,34385
Marshall,Tennessee,47117,TN, ,34375
Lincoln,Tennessee,47103,TN, ,34366
Fulton,Illinois,17057,IL, ,34340
Nicollet,Minnesota,27103,MN, ,34274
Miami,Kansas,20121,KS, ,34237
Panola,Mississippi,28107,MS, ,34192
Lincoln,Mississippi,28085,MS, ,34153
Lee,Illinois,17103,IL, ,34096
Wasatch,Utah,49051,UT, ,34091
Pulaski,Virginia,51155,VA, ,34027
Seneca,New York,36099,NY, ,34016
Effingham,Illinois,17049,IL, ,34008
Whitley,Indiana,18183,IN, ,33964
Halifax,Virginia,51083,VA, ,33911
Putnam,Ohio,39137,OH, ,33861
Hot Spring,Arkansas,5059,AR, ,33771
Clarendon,South Carolina,45027,SC, ,33745
Wakulla,Florida,12129,FL, ,33739
Gibson,Indiana,18051,IN, ,33659
Morgan,Illinois,17137,IL, ,33658
Lee,Iowa,19111,IA, ,33657
Wexford,Michigan,26165,MI, ,33631
Ford,Kansas,20057,KS, ,33619
Lumpkin,Georgia,13187,GA, ,33610
Jasper,Indiana,18073,IN, ,33562
Platte,Nebraska,31141,NE, ,33470
Preston,West Virginia,54077,WV, ,33432
Botetourt,Virginia,51023,VA, ,33419
Emmet,Michigan,26047,MI, ,33415
Hale,Texas,48189,TX, ,33406
Caroline,Maryland,24011,MD, ,33406
Evangeline,Louisiana,22039,LA, ,33395
Morrison,Minnesota,27097,MN, ,33386
Daviess,Indiana,18027,IN, ,33351
Weakley,Tennessee,47183,TN, ,33328
Chambers,Alabama,1017,AL, ,33254
Marion,Iowa,19125,IA, ,33253
Lyon,Kansas,20111,KS, ,33195
Rhea,Tennessee,47143,TN, ,33167
Pike,Alabama,1109,AL, ,33114
Lawrence,Alabama,1079,AL, ,32924
McCurtain,Oklahoma,40089,OK, ,32832
Titus,Texas,48449,TX, ,32750
Taos,New Mexico,35055,NM, ,32723
Bladen,North Carolina,37017,NC, ,32722
Lafayette,Missouri,29107,MO, ,32708
Bureau,Illinois,17011,IL, ,32628
Pickens,Georgia,13227,GA, ,32591
Bee,Texas,48025,TX, ,32565
Iberville,Louisiana,22047,LA, ,32511
Jackson,Ohio,39079,OH, ,32413
Clinton,Indiana,18023,IN, ,32399
Henry,Tennessee,47079,TN, ,32345
Accomack,Virginia,51001,VA, ,32316
Jefferson,Indiana,18077,IN, ,32308
Christian,Illinois,17021,IL, ,32304
Chester,South Carolina,45023,SC, ,32244
Jefferson,Washington,53031,WA, ,32221
Pontotoc,Mississippi,28115,MS, ,32174
Polk,Missouri,29167,MO, ,32149
Logan,West Virginia,54045,WV, ,32019
Juneau City and Borough,Alaska,2110,AK, ,31974
Claiborne,Tennessee,47025,TN, ,31959
Stone,Missouri,29209,MO, ,31952
Dorchester,Maryland,24019,MD, ,31929
Greene,Indiana,18055,IN, ,31922
Montgomery,Kansas,20125,KS, ,31829
Randolph,Illinois,17157,IL, ,31782
Geary,Kansas,20061,KS, ,31670
Amherst,Virginia,51009,VA, ,31605
Coos,New Hampshire,33007,NH, ,31563
Stark,North Dakota,38089,ND, ,31489
Washington,Maine,23029,ME, ,31379
Gilmer,Georgia,13123,GA, ,31369
Jefferson Davis,Louisiana,22053,LA, ,31368
Hardin,Ohio,39065,OH, ,31365
Morton,North Dakota,38059,ND, ,31364
Polk,Minnesota,27119,MN, ,31364
Adams,Nebraska,31001,NE, ,31363
Franklin,Alabama,1059,AL, ,31362
Petersburg city,Virginia,51730,VA, ,31346
Delta,Colorado,8029,CO, ,31162
Knox,Kentucky,21121,KY, ,31145
Ottawa,Oklahoma,40115,OK, ,31127
Marshall,Kentucky,21157,KY, ,31100
Summit,Colorado,8117,CO, ,31011
Schoharie,New York,36095,NY, ,30999
Wabash,Indiana,18169,IN, ,30996
Huron,Michigan,26063,MI, ,30981
Clare,Michigan,26035,MI, ,30950
Sanpete,Utah,49039,UT, ,30939
Vernon,Wisconsin,55123,WI, ,30822
White,Georgia,13311,GA, ,30798
Caroline,Virginia,51033,VA, ,30725
Adams,Mississippi,28001,MS, ,30693
Kleberg,Texas,48273,TX, ,30680
Marion,South Carolina,45067,SC, ,30657
Bolivar,Mississippi,28011,MS, ,30628
Muhlenberg,Kentucky,21177,KY, ,30622
Mecklenburg,Virginia,51117,VA, ,30587
Lassen,California,6035,CA, ,30573
Malheur,Oregon,41045,OR, ,30571
Marshall,West Virginia,54051,WV, ,30531
Sheridan,Wyoming,56033,WY, ,30485
Dillon,South Carolina,45033,SC, ,30479
Lake,Montana,30047,MT, ,30458
Williamsburg,South Carolina,45089,SC, ,30368
Freeborn,Minnesota,27047,MN, ,30281
Franklin,Maine,23007,ME, ,30199
Smyth,Virginia,51173,VA, ,30104
Jasper,South Carolina,45053,SC, ,30073
Obion,Tennessee,47131,TN, ,30069
Boyle,Kentucky,21021,KY, ,30060
Austin,Texas,48015,TX, ,30032
Cass,Texas,48067,TX, ,30026
Caledonia,Vermont,50005,VT, ,29993
Lee,Georgia,13177,GA, ,29992
Wayne,Georgia,13305,GA, ,29927
Elk,Pennsylvania,42047,PA, ,29910
Gallia,Ohio,39053,OH, ,29898
Madison,Georgia,13195,GA, ,29880
Jefferson,Idaho,16051,ID, ,29871
Haralson,Georgia,13143,GA, ,29792
Carroll,Virginia,51035,VA, ,29791
Cass,Minnesota,27021,MN, ,29779
Marion,Alabama,1093,AL, ,29709
Yazoo,Mississippi,28163,MS, ,29690
McDonough,Illinois,17109,IL, ,29682
Powhatan,Virginia,51145,VA, ,29652
Trempealeau,Wisconsin,55121,WI, ,29649
Pine,Minnesota,27115,MN, ,29579
Sumter,Georgia,13261,GA, ,29524
